SKU,Nama Produk,Kategori,Harga Beli,Harga Jual,Stok,Stok Minimum,Satuan
MJK-001,Meja Kerja Jati Minimalis,Meja,850000,1350000,12,3,pcs
MJM-002,Meja Makan 6 Kursi Mahoni,Meja,3200000,4800000,4,2,set
KRS-001,Kursi Santai Rotan Kombinasi,Kursi,450000,750000,20,5,pcs
KJT-002,Kursi Jati Antik Ukir,Kursi,980000,1650000,6,3,pcs
LMR-001,Lemari Pakaian 3 Pintu Pinus,Lemari,1750000,2600000,3,2,pcs
RBK-002,Rak Buku 5 Susun Jati,Lemari,620000,980000,8,3,pcs
TPT-001,Tempat Tidur Kayu Jati Single,Tempat Tidur,1200000,1900000,5,2,pcs
TPT-002,Set Kamar Tidur Mahoni Queen,Tempat Tidur,5800000,8500000,2,1,set
AKS-001,Nakas Kayu Mahoni,Aksesori,280000,450000,15,5,pcs
AKS-002,Cermin Kayu Bingkai Jati,Aksesori,380000,620000,2,3,pcs
